Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.92Ag0.08CuSeO,723,333,2310,0.41 ,0.00026 ,0.45 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.92Ag0.08CuSeO,773,336,2325,0.40 ,0.00026 ,0.50 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.94Ag0.06CuSeO,323,223,1662,0.55 ,0.00008 ,0.05 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.94Ag0.06CuSeO,373,236,1576,0.55 ,0.00009 ,0.06 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.94Ag0.06CuSeO,423,250,1430,0.52 ,0.00009 ,0.07 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.94Ag0.06CuSeO,473,260,1470,0.50 ,0.00010 ,0.09 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.94Ag0.06CuSeO,523,274,1580,0.49 ,0.00012 ,0.13 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.94Ag0.06CuSeO,573,297,1649,0.48 ,0.00015 ,0.17 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.94Ag0.06CuSeO,673,322,1934,0.49 ,0.00020 ,0.28 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,323,229,1623,0.58 ,0.00009 ,0.05 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,373,249,1565,0.57 ,0.00010 ,0.06 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,423,268,1477,0.54 ,0.00011 ,0.08 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,473,275,1483,0.53 ,0.00011 ,0.10 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,523,280,1596,0.52 ,0.00013 ,0.13 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,573,283,1781,0.51 ,0.00014 ,0.16 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,623,288,1947,0.52 ,0.00016 ,0.19 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,723,313,2360,0.49 ,0.00023 ,0.34 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,823,340,2675,0.47 ,0.00031 ,0.54 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.96Ag0.04CuSeO,873,343,2735,0.47 ,0.00032 ,0.60 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,323,160,2600,0.56 ,0.00007 ,0.04 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,373,179,2351,0.56 ,0.00007 ,0.05 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,423,200,2079,0.55 ,0.00008 ,0.06 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,473,235,1870,0.53 ,0.00010 ,0.09 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,523,266,1900,0.52 ,0.00013 ,0.14 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,573,288,1934,0.50 ,0.00016 ,0.18 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,623,316,2030,0.50 ,0.00020 ,0.25 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,673,317,2106,0.48 ,0.00021 ,0.30 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,723,325,2130,0.46 ,0.00022 ,0.35 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,773,326,2200,0.45 ,0.00023 ,0.40 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,823,335,2500,0.44 ,0.00028 ,0.53 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi0.9Ag0.1CuSeO,873,336,2600,0.43 ,0.00029 ,0.60 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,323,488,536,0.81 ,0.00013 ,0.05 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,373,464,497,0.72 ,0.00011 ,0.06 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,423,443,500,0.66 ,0.00010 ,0.06 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,473,424,589,0.61 ,0.00011 ,0.08 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,523,408,848,0.57 ,0.00014 ,0.13 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,573,390,1218,0.54 ,0.00019 ,0.20 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,623,374,1550,0.52 ,0.00022 ,0.26 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,673,363,1800,0.49 ,0.00024 ,0.32 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,723,350,2000,0.48 ,0.00025 ,0.37 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiCuSeO,873,326,2450,0.44 ,0.00026 ,0.52 ,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te3,373 ,-143,107500,0.90,0.00221 ,0.92 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te3,473 ,-157,77300,0.96,0.00190 ,0.94 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te3,498 ,-158,72257,0.94,0.00181 ,0.96 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te3,398 ,-147,98421,0.84,0.00214 ,1.01 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te3,458 ,-155,83333,0.87,0.00200 ,1.04 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te3,423 ,-152,90500,0.76,0.00209 ,1.17 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce0.2Bi1.8Te3,498 ,-155,59028,0.67,0.00141 ,1.05 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce0.2Bi1.8Te3,373 ,-141,84083,0.58,0.00168 ,1.08 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce0.2Bi1.8Te3,458 ,-153,67400,0.57,0.00157 ,1.24 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce0.2Bi1.8Te3,473 ,-155,63090,0.57,0.00152 ,1.26 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce0.2Bi1.8Te3,423 ,-150,72257,0.54,0.00163 ,1.28 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce0.2Bi1.8Te3,398 ,-147,77900,0.51,0.00167 ,1.29 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm0.2Bi1.8Te3,373 ,-143,74600,0.73,0.00152 ,0.77 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm0.2Bi1.8Te3,498 ,-156,52300,0.81,0.00127 ,0.78 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm0.2Bi1.8Te3,473 ,-156,55600,0.74,0.00135 ,0.87 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm0.2Bi1.8Te3,458 ,-155,56600,0.69,0.00136 ,0.92 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm0.2Bi1.8Te3,398 ,-148,69000,0.60,0.00151 ,0.99 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm0.2Bi1.8Te3,423 ,-152,64000,0.62,0.00148 ,1.01 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.2Bi1.8Te3,498 ,-152,59045,0.83,0.00137 ,0.83 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.2Bi1.8Te3,473 ,-152,62334,0.75,0.00144 ,0.91 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.2Bi1.8Te3,458 ,-150,66600,0.74,0.00150 ,0.93 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.2Bi1.8Te3,373 ,-138,84900,0.63,0.00163 ,0.96 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.2Bi1.8Te3,398 ,-143,78100,0.60,0.00160 ,1.07 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.2Bi1.8Te3,423 ,-147,72086,0.58,0.00157 ,1.14 ,http://dx.doi.org/10.1016/j.pnsc.2013.06.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.6Ge0.4S4,350,57,97400,1.63 ,0.00032 ,0.07 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.6Ge0.4S4,400,65,89800,1.58 ,0.00038 ,0.10 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.6Ge0.4S4,500,82,73200,1.52 ,0.00049 ,0.16 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.7Ge0.3S4,350,68,57975,1.31 ,0.00027 ,0.07 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.7Ge0.3S4,400,78,54300,1.26 ,0.00033 ,0.10 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.7Ge0.3S4,500,97,47000,1.20 ,0.00044 ,0.18 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.8Ge0.2S4,350,85,32250,1.04 ,0.00023 ,0.08 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.8Ge0.2S4,400,96,30740,0.98 ,0.00028 ,0.12 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.8Ge0.2S4,500,122,27600,0.92 ,0.00041 ,0.22 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.9Ge0.1S4,350,127,7375,0.79 ,0.00012 ,0.05 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.9Ge0.1S4,400,144,7600,0.73 ,0.00016 ,0.09 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3P0.9Ge0.1S4,500,177,7940,0.67 ,0.00025 ,0.18 ,https://doi.org/10.1002/adfm.202000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb10LaCdSb9,323 ,32,28782,0.89,0.00003 ,0.01 ,https://doi.org/10.1002/asia.201200827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb10LaCdSb9,473 ,41,28800,0.85,0.00005 ,0.03 ,https://doi.org/10.1002/asia.201200827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb10LaCdSb9,573 ,49,27725,0.86,0.00007 ,0.04 ,https://doi.org/10.1002/asia.201200827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb10LaCdSb9,673 ,52,29695,0.88,0.00008 ,0.06 ,https://doi.org/10.1002/asia.201200827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb10LaCdSb9,1023 ,58,38935,1.59,0.00013 ,0.08 ,https://doi.org/10.1002/asia.201200827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb10LaCdSb9,773 ,57,31707,0.91,0.00010 ,0.09 ,https://doi.org/10.1002/asia.201200827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb10LaCdSb9,973 ,59,37440,1.29,0.00013 ,0.10 ,https://doi.org/10.1002/asia.201200827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb10LaCdSb9,873 ,60,33669,1.00,0.00012 ,0.11 ,https://doi.org/10.1002/asia.201200827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.79Se0.21,323,-508,444,0.72 ,0.00011 ,0.05 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.79Se0.21,423,-530,379,0.61 ,0.00011 ,0.07 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.79Se0.21,523,-553,292,0.55 ,0.00009 ,0.08 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.79Se0.21,623,-561,268,0.51 ,0.00008 ,0.10 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.79Se0.21,723,-536,419,0.48 ,0.00012 ,0.18 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.85Se0.15,323,-439,938,0.77 ,0.00018 ,0.08 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.85Se0.15,423,-470,718,0.64 ,0.00016 ,0.10 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.85Se0.15,523,-508,530,0.57 ,0.00014 ,0.13 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.85Se0.15,623,-516,403,0.53 ,0.00011 ,0.13 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.85Se0.15,723,-495,547,0.51 ,0.00013 ,0.19 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.91Se0.09,323,-461,623,0.81 ,0.00013 ,0.05 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.91Se0.09,423,-476,562,0.66 ,0.00013 ,0.08 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.91Se0.09,523,-483,464,0.59 ,0.00011 ,0.10 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.91Se0.09,623,-518,373,0.55 ,0.00010 ,0.11 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S2.91Se0.09,723,-475,470,0.52 ,0.00011 ,0.15 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S3.0,323,-664,4,0.71 ,0.00000 ,0.00 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S3.0,423,-641,34,0.58 ,0.00001 ,0.01 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S3.0,523,-627,72,0.51 ,0.00003 ,0.03 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S3.0,623,-601,83,0.47 ,0.00003 ,0.04 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2.0S3.0,723,-501,346,0.44 ,0.00009 ,0.14 ,https://doi.org/10.1007/s11467-018-0845-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3Sb0.90Ge0.10S4,323,91,123060,4.00 ,0.00102 ,0.08 ,https://doi.org/10.1007/s11664-014-3064-y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3Sb0.92Ge0.08S4,323,105,100816,3.88 ,0.00112 ,0.09 ,https://doi.org/10.1007/s11664-014-3064-y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3Sb0.94Ge0.06S4,323,132,58163,3.44 ,0.00102 ,0.10 ,https://doi.org/10.1007/s11664-014-3064-y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3Sb0.98Ge0.02S4,323,192,22857,3.43 ,0.00084 ,0.08 ,https://doi.org/10.1007/s11664-014-3064-y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu3SbS4,323,497,1650,4.21 ,0.00041 ,0.03 ,https://doi.org/10.1007/s11664-014-3064-y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te1.95Se1.05,323 ,-167,52250,0.98,0.00146 ,0.50 ,https://doi.org/10.1007/s11664-020-08258-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te1.95Se1.05,373 ,-176,47800,0.96,0.00149 ,0.57 ,https://doi.org/10.1007/s11664-020-08258-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te1.95Se1.05,423 ,-185,43460,0.93,0.00148 ,0.67 ,https://doi.org/10.1007/s11664-020-08258-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te1.95Se1.05,573 ,-185,33000,0.93,0.00113 ,0.71 ,https://doi.org/10.1007/s11664-020-08258-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te1.95Se1.05,473 ,-188,39450,0.91,0.00140 ,0.75 ,https://doi.org/10.1007/s11664-020-08258-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te1.95Se1.05,523 ,-189,35850,0.91,0.00129 ,0.76 ,https://doi.org/10.1007/s11664-020-08258-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te2.01Se0.99,323 ,-149,60000,1.05,0.00134 ,0.42 ,https://doi.org/10.1007/s11664-020-08258-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te2.01Se0.99,373 ,-158,54400,1.01,0.00136 ,0.49 ,https://doi.org/10.1007/s11664-020-08258-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi2Te2.01Se0.99,423 ,-166,49100,0.98,0.00135 ,0.58 ,https://doi.org/10.1007/s11664-020-08258-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
